,UWI,Depth,FACIES,DTC,GR,NPHI,PEF,RESD,RESM,RHOB
8263,Torosa 1,3535.042993,2.0,74.78703398,55.71024745,0.14956344800000002,3.966405605,4.24345128,4.271766136,2.61758475
8264,Torosa 1,3535.195337,2.0,74.6237556,55.79002426,0.158813302,4.020985002,4.870724443,4.86787531,2.613402399
8265,Torosa 1,3535.347681,2.0,74.74692449,56.1112249,0.156988691,4.093657126,4.795676553,4.734452862,2.612176149
8266,Torosa 1,3535.5000240000004,2.0,74.77520418,56.97376476,0.157395871,4.1880730580000005,4.866448565,4.785214586,2.618297959
8267,Torosa 1,3535.652368,2.0,74.40248451,58.10139822,0.155016289,4.160331853,3.95639059,3.886407388,2.633489919
8268,Torosa 1,3535.804712,2.0,74.14204767,56.65335926,0.150852806,4.059242527,3.312000944,3.242964967,2.617167445
8269,Torosa 1,3535.957056,2.0,73.46908681,53.7911821,0.13908638,3.93764657,3.268129172,3.179566653,2.583088778
8270,Torosa 1,3536.1094,2.0,72.89852477,51.99728077,0.135450756,3.927296876,3.803325612,3.703661785,2.581321089
8271,Torosa 1,3536.261743,2.0,71.55859147,51.57436238,0.130953916,3.895158877,4.769062772,4.65297517,2.585381543
8272,Torosa 1,3536.414087,2.0,70.81173593,50.92227233,0.124744407,3.957435536,5.022806587,4.919814245,2.595776978
8273,Torosa 1,3536.566431,2.0,71.1358923,50.45202904,0.113504957,4.02574625,4.694196473,4.601937489,2.602188312
8274,Torosa 1,3536.718775,2.0,73.18071151,51.33766778,0.10973462,4.0707195989999985,5.158197306,5.093828918,2.6013359030000003
8279,Torosa 1,3537.480494,2.0,84.77658669,57.754512,0.145399448,4.1683143,2.38378048,2.430948798,2.5637829130000003
8280,Torosa 1,3537.6328380000004,2.0,86.22186255,60.07445832,0.163116361,4.161503592,2.372813021,2.4429928380000003,2.564906531
8281,Torosa 1,3537.785181,2.0,86.67233773,62.0900238,0.175505773,4.067412008,2.148772525,2.22265646,2.584292159
8282,Torosa 1,3537.937525,2.0,87.24243409999998,64.63053434,0.185393947,3.878207409,1.813611597,1.896054226,2.577647367
8283,Torosa 1,3538.089869,2.0,87.55092411,68.55678896,0.203809278,3.7826388,1.626688724,1.718261504,2.5540499480000003
8284,Torosa 1,3538.2422130000004,2.0,87.18826990000002,70.53209127,0.210568038,3.721365595,1.6090292119999998,1.717521214,2.5307935930000003
8285,Torosa 1,3538.394557,2.0,87.12696166,70.77576268,0.21479587100000005,3.693772355,1.76336753,1.897469064,2.523559805
8286,Torosa 1,3538.5469,2.0,87.30681616,69.54522627,0.217576195,3.647118056,2.096215674,2.266729796,2.531440451
8287,Torosa 1,3538.699244,2.0,86.50881903,68.03675285,0.21003274,3.66341241,1.918317765,2.07072087,2.548629182
8288,Torosa 1,3538.8515880000004,2.0,85.60464506,65.86135975,0.202733374,3.633202087,1.875245039,2.018546396,2.55829089
8289,Torosa 1,3539.003932,2.0,82.3172177,64.5602853,0.200610453,3.719777404,1.908004534,2.044023897,2.558480898
8290,Torosa 1,3539.156276,2.0,80.54821087,65.40790934,0.199135595,3.885280749,1.803740675,1.915465921,2.567627615
8291,Torosa 1,3539.308619,2.0,78.76754039,66.72338214,0.195915378,3.842677805,2.024079463,2.140451569,2.549932717
8292,Torosa 1,3539.4609630000004,2.0,77.68411795,65.80664502,0.200568182,3.630077345,2.8846371160000004,3.033275065,2.557936032
8293,Torosa 1,3539.613307,2.0,76.46901875,63.40189304,0.203463638,3.608059287,4.07721363,4.283939416,2.567081454
8294,Torosa 1,3539.765651,2.0,75.37523293,59.99781416,0.186965424,3.600061124,4.871373607,5.125182109,2.595477897
8295,Torosa 1,3539.917995,2.0,74.87501204,58.51766783,0.159697012,3.755422828,4.991511796,5.255353566,2.6092838
8296,Torosa 1,3540.0703380000004,2.0,74.73676878,59.67049726,0.143629703,3.722352075,4.380263234,4.609432404,2.597021599
8297,Torosa 1,3540.222682,2.0,74.71037981,60.95592618,0.151168668,3.517447805,3.3772216060000004,3.521067266,2.591417547
8298,Torosa 1,3540.375026,2.0,74.14263937,62.81592836,0.17091939899999994,3.493776777,3.286171895,3.3503588260000003,2.581409126
8299,Torosa 1,3540.52737,2.0,73.69823611,58.65906907,0.17387649100000002,3.551574294,3.4015758860000003,3.436781025,2.568750716
8300,Torosa 1,3540.679714,2.0,73.64889405,54.69665955,0.153502153,3.745122862,4.436401205,4.457259366000001,2.593935509
